# number of points awarded for reaching different rounds of ATP tournaments of various categories
# level = tournament category
# number = number of such tournaments
# players = how many players enter the tournament
# qualif = how many players enter the qualification
# W = number of points for winning
# F = number of points for losing in the final (round of 2)
# SF = number of points for losing in the semifinal (round of 4)
# QF = number of points for losing in the quarterfinal (round of 8)
# R16...R128 = number of points for losing in the round of 16...round of 128
# Q = number of points for qualifying to the main tournament
# Q3...Q1 = number of points for losing in round 3...round 1 of qualification
# when the number of points is -1, the tournament does not have such a level (e.g., R64 for ATP125 tournaments)
# information here comes from:
# https://en.wikipedia.org/wiki/ATP_Tour
# https://en.wikipedia.org/wiki/ATP_Challenger_Tour
# https://en.wikipedia.org/wiki/2019_ATP_Tour
# https://en.wikipedia.org/wiki/2019_ATP_Challenger_Tour
# https://en.wikipedia.org/wiki/2019_ITF_Men%27s_World_Tennis_Tour
level	number	players	qualif	W	F	SF	QF	R16	R32	R64	R128	Q	Q3	Q2	Q1	num_qualified
20	155	32	16	20	12	6	3	1	0	-1	-1	0	-1	0	0	4
10	385	32	16	10	6	4	2	1	0	-1	-1	0	-1	0	0	4
80	99	32	16	80	48	29	15	7	0	-1	-1	3	-1	-1	0	8
90	21	32	16	90	55	33	17	8	0	-1	-1	5	-1	-1	0	8
100	11	32	16	100	60	35	18	8	0	-1	-1	5	-1	-1	0	8
110	7	32	16	110	65	40	20	9	0	-1	-1	5	-1	-1	0	8
125	20	32	16	125	75	45	24	10	0	-1	-1	5	-1	2	0   4
250	39	32	16	250	150	90	45	20	10	-1	-1	5	-1	3	0	4
500	13	32	16	500	300	180	90	45	20	-1	-1	10	-1	4	0	4
1000	9	128	64	1000	600	360	180	90	45	25	10	16	-1	8	0	16
2000	4	128	128	2000	1200	720	360	180	90	45	10	25	16	3	0	16
